,Title,weight,length,height,width,id
85,"Lowepro GearUp Pouch Medium: Laptop Accessory Case and Travel Organizer for Electronic Devices, Cables, Adapters, Chargers and More",112.468,11.02,1.77,5.51,86
88,LEGO Marvel Infinity Gauntlet 76191 Collectible Building Kit; Thanos Right Hand Gauntlet Model with Infinity Stones (590 Pieces),757.3449999999999,7.52,13.94,3.58,89
89,"LEGO Classic Large Creative Brick Box 10698 Build Your Own Creative Toys, Kids Building Kit (790 Pieces)",997.7,14.57,10.31,7.09,90
90,"LEGO Bonsai Tree 10281 Building Kit, a Building Project to Focus The Mind with a Beautiful Display Piece to Enjoy, New 2021 (878 Pieces)",739.2049999999999,10.32,15.04,2.78,91
91,"LEGO Super Mario Adventures with Mario Starter Course 71360 Building Kit, Interactive Set Featuring Mario, Bowser Jr. and Goomba Figures (231 Pieces)",498.85,12.48,10.32,3.54,92
92,"LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl, Triceratops and T Rex Toy (174 Pieces)",236.18280000000001,10.32,5.55,1.89,93
93,"LEGO Classic Large Creative Brick Box 10698 Build Your Own Creative Toys, Kids Building Kit (790 Pieces)",997.7,14.57,10.31,7.09,94
94,"LEGO Bonsai Tree 10281 Building Kit, a Building Project to Focus The Mind with a Beautiful Display Piece to Enjoy, New 2021 (878 Pieces)",739.2049999999999,10.32,15.04,2.78,95
95,"LEGO Creator 3in1 Race Car Transporter 31113 Building Kit; Makes a Great Gift for Kids Who Love Fun Toys and Creative Building, New 2021 (328 Pieces)",298.0402,10.32,7.52,2.4,96
96,LEGO Marvel Captain America and Hydra Face-Off 76189 Collectible Building Kit; Captain America and Motorcycle Set; New 2021 (49 Pieces),98.97184,5.55,4.8,1.81,97
97,LEGO Super Mario Lakitu Sky World Expansion Set 71389 Building Kit; Collectible Toy Playset for Kids; New 2021 (484 Pieces),507.9200000000001,13.94,7.52,2.76,98
98,LEGO Disney Mickey and Friends Mickey Mouse & Donald Duck’s Farm 10775 Building Kit; A Creative Play Set for Kids; New 2021 (118 Pieces),196.819,13.94,7.52,2.32,99
99,Lego Creator Fish Tank 31122 Exclusive 3-in-1 Building Set,585.015,14.0,8.0,3.0,100
100,LEGO Disney Mickey and Friends Mickey Mouse & Minnie Mouse’s Space Rocket 10774 Building Kit; A Cool Set for Kids; New 2021 (88 Pieces),354.2742,10.32,7.52,2.4,101
101,"LEGO Creator Mighty Dinosaurs 31058 Build It Yourself Dinosaur Set, Create a Pterodactyl, Triceratops and T Rex Toy (174 Pieces)",236.18280000000001,10.32,5.55,1.89,102
103,"LEGO City Space Mars Research Shuttle 60226 Space Shuttle Toy Building Kit with Mars Rover and Astronaut Minifigures, Top STEM Toy for Boys and Girls (273 Pieces)",98.97184,11.1,10.32,2.99,104
104,"LEGO Star Wars R2-D2 75308 Collectible Building Toy, New 2021 (2,314 Pieces)",2852.515,14.88,22.91,4.06,105
105,"LEGO Star Wars: A New Hope Imperial Star Destroyer 75252 Building Kit (4,784 Pieces)",12380.550000000001,20.98,18.11,15.16,106
106,LEGO Speed Champions Chevrolet Corvette C8.R Race Car and 1968 Chevrolet Corvette 76903 Building Kit; New 2021 (512 Pieces),580.48,13.94,7.52,2.76,107
107,"LEGO Technic Monster Jam Grave Digger 42118 Model Building Kit for Boys and Girls Who Love Monster Truck Toys, New 2021 (212 Pieces)",199.6307,10.32,5.55,3.58,108
108,LEGO Minecraft The Ruined Portal 21172 Building Kit; Fun Minecraft Toy for Kids with Steve and a Wither Skeleton; New 2021 (316 Pieces),607.69,10.32,8.74,2.99,109
109,"LEGO Creator 3in1 Medieval Castle 31120 Building Kit; Castle with Moat and Drawbridge, Plus 3 Minifigures; New 2021 (1,426 Pieces)",2399.015,18.9,14.88,3.7,110
110,"LEGO Star Wars: The Mandalorian The Child 75318 Building Kit; Collectible Buildable Toy Model for Ages 10+, New 2020 (1,073 Pieces)",1265.265,10.32,15.04,4.65,111
111,"LEGO Star Wars Luke Skywalker’s X-Wing Fighter 75301 Awesome Toy Building Kit for Kids, New 2021 (474 Pieces)",306.4753,15.04,10.32,2.78,112
112,"LEGO NINJAGO Legacy Boulder Blaster 71736 Airplane Toy Featuring Collectible Figurines, New 2021 (449 Pieces)",298.0402,15.04,10.32,2.22,113
113,"LEGO Star Wars Ultimate Millennium Falcon 75192 Expert Building Kit and Starship Model, Best Gift and Movie Collectible for Adults (7541 Pieces)",13378.25,33.0,22.0,8.0,114
114,"Bonjure Classic Building Blocks Tractor Building Blocks, Including The Rear axle Structure, Shifting Structure, Steering Structure, openable Hood and Other Functions.",498.85,11.14,8.9,3.43,115
115,"GAMZOO STEM Building Toys for Kids with 2-in-1 Remote Control Racer Snap Together Engineering Kits Early Learning Racecar Building Blocks and Off-Road Best Gift for 6,7,8 and 9＋Year Old Boys and Girls",621.2950000000001,12.0,9.0,2.5,116
116,"NEWRICE Sakura Tree House Lights Building Kit,City Architecture Inari Shrine Building Blocks Sets,for Adults,or Aged 12+ Boys Girls (1103 Pieces)",798.16,11.0,9.0,10.0,117
